"customer_unique_id","category","purchase_count"
"00053a61a98854899e70ed204dd4bafe","sports_leisure",2
"000de6019bb59f34c099a907c151d855","bed_bath_table",2
"000fbf0473c10fc1ab6f8d2d286ce20c","musical_instruments",2
"000fbf0473c10fc1ab6f8d2d286ce20c","toys",2
"001147e649a7b1afd577e873841632dd","housewares",2
"0015752e079902b12cd00b9b7596276b","luggage_accessories",2
"0025795df7a7d077c4c90162fa820085","stationery",2
"00293787e2aec37a9c253b63fdfe2049","health_beauty",2
"002ae492472e45ad6ebeb7a625409392","health_beauty",2
"0035029989e6fc5cf030918a5f9f2037","luggage_accessories",2
"003e2af81ea3c72fbdd093f07724a4de","health_beauty",2
"004177f7bf62929186b32c7fdaa6157b","office_furniture",2
"0049db44bfd6cee26ac9c649329ff6ea","furniture_decor",2
"004f84d065096f3cedd26cf0adc80b9d","office_furniture",2
"00504b68faa074d0f40adcb4f7727f71","bed_bath_table",2
"005754cb59f8ee5cdbb5cda9d138757e","health_beauty",2
"0063817060d662048ed08bccecaf45d5","telephony",2
"0064a1b5f5cddd047c987b988a90c8c1","garden_tools",4
"006ab6f5e82340e927757563a9fbe7e4","toys",2
"0085139b503668b3addcfe826d91be8d","sports_leisure",3
"008b06aba4b5f5b5b94f525ccf520624","housewares",2
"0096c18412349537abc45e350581cbbc","housewares",4
"0097fca0db567f5ca79509b7b4fc1c2d","furniture_decor",6
"00adeda9b742746c0c66e10d00ea1b74","watches_gifts",2
"00ae50eb5e1d2514f694dee1dcbbd5ae","furniture_decor",4
"00af5c2c9fd47849143be82aea5ab2cf","drinks",2
"00b1066a65657ee1759544f6b61a4e2c","health_beauty",2
"00ba737b18a7996f68cb8a99556bedd4","perfumery",2
"00bfe974afd63b30ed282dc69892fb98","garden_tools",2
"00c3624c55261d9ce593f30e3815a880","fashion_bags_accessories",2
"00cdb0d59698da325d0e6830120363bf","bed_bath_table",2
"00d1e5d82377766dac9f8dc4d4eaf4a8","perfumery",2
"00da34ebf22b87f6c2f53dc069f237df","furniture_decor",3
"00dba3af1366ca8114a40bc83021f5e9","furniture_decor",2
"00e8cbf31206edcf22b7b118daa13983","health_beauty",2
"00ec23a308504080697e5204d3dbcb2c","garden_tools",2
"00eca7e1c994897d0a31bf75478f4b55","bed_bath_table",2
"00fb8f6787f67bd33c7e86c9691d2b1c","bed_bath_table",3
"00fd4a627a3b93cff0729f0b3554640d","garden_tools",2
"011733687890faf081be6fde9e7cc7a0","auto",2
"011b4adcd54683b480c4d841250a987f","food",2
"012755131a5b785b0ae3291c339a9051","auto",2
"012a218df8995d3ec3bb221828360c86","auto",2
"012b8001e47392df808a454083a74b74","sports_leisure",2
"0130baad44d0ccc44bc7526c1ac18c64","furniture_decor",2
"0134417784b9f85470e635c063152a71","kitchen_dining_laundry_garden_furniture",2
"013689381e404bf6304f57bab4b8f01d","garden_tools",3
"013f4353d26bb05dc6652f1269458d8d","sports_leisure",3
"0152897024d0ddad70baafe17ed705f4","sports_leisure",3
"01561f92006fd3ba8a8a4246b7f38101","garden_tools",2
"015b72d1a4ec2bfcf75518ada117c62b","pet_shop",2
"015f170c7abe45372b9f0414d901e71b","watches_gifts",2
"01626676a41ff29901f7b42bc8e09dd8","electronics",3
"016846e2dd862cba9a2a10eff5ac244f","furniture_decor",2
"01689985c22786e41347d5167048b25e","computers_accessories",3
"016c60628fc64e15fa5990e58a0b57c1","furniture_decor",2
"01726e5d6a88d1a8dffd9578872ce54e","computers_accessories",2
"0178b244a5c281fb2ade54038dd4b161","bed_bath_table",4
"017c7f75ca30943882f48d5fda81e2df","fashion_shoes",2
"01835b7ef446c78d0c37077894aa068d","food",2
"01886ef98f995e4f2dd75a1d04c97397","health_beauty",2
"01940bd0ea09e8cbbeb24452e58dcb0e","housewares",2
"019ac5580a897d52e5ed6f7ed89ade27","sports_leisure",3
"019ed386aec9ff0f9eab4a590231174e","computers_accessories",6
"019fcfdd0b0ec239cc2b536428064c47","watches_gifts",2
"01a22e2079ea71e17313b88e5811e54a","watches_gifts",3
"01b53609a2d3710857e22775bbf8ec0f","auto",2
"01ba3180d3c6e7a6e269c5a542985423","health_beauty",2
"01bbbfc56b8ec1052e46f260226e34f9","office_furniture",3
"01c19b1261325781dcf2f82c9892f80e","furniture_decor",3
